exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
7-Adult-GLMMEncoder-LogisticRegression,7,Adult,False,39073,9769,14,GLMMEncoder,21.5625,LogisticRegression,0.0625,0.8446105026102979,0.6419811320754716,0.9008629053014678,0.7340884573894283,0.5704107292539815,0.3292873394413929,0.1553894973897021,0.9111475074214351,,,,,,0.8500243134645408,0.6492278223392793,0.9038428121529957,0.7323430114787306,0.5830555854209225,0.32154748487142565,0.14997568653545923,0.9119340721214138,,,,,
7-Adult-GLMMEncoder-LinearSVC,7,Adult,False,39073,9769,14,GLMMEncoder,21.5625,LinearSVC,3.3125,0.8433821271368614,0.632388274867852,0.7446227082696832,0.740990990990991,0.5515507124895223,5.645080324019781,0.15661787286313855,0.9123758828948715,,,,,,0.8501010928262484,0.6422332172744488,0.75215594905903,0.7435643564356436,0.5652080421460058,5.402904253578153,0.14989890717375165,0.9118572927597062,,,,,
7-Diamonds-GLMMEncoder-MLPRegressor,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,MLPRegressor,13.65625,,,,,,,,,0.04513951067914288,0.21246060971187783,0.1029814541589918,0.6622709706590082,0.9538321780671758,,,,,,,,,0.03849054921136813,0.19619008438595498,0.0992719614703289,0.5576939743085891,0.9615094507886319
7-Diamonds-GLMMEncoder-RandomForestRegressor,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,RandomForestRegressor,17.765625,,,,,,,,,0.01895310642342511,0.13767028155497144,0.0674393040980958,0.5738863128224423,0.9806151278721134,,,,,,,,,0.002669980005807609,0.05167184925863994,0.02536906102087555,0.1666851538333863,0.9973300199941924
7-Diamonds-GLMMEncoder-RidgeCV,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,RidgeCV,0.03125,,,,,,,,,0.1043924884718646,0.32309826442100337,0.20347956748442686,1.0989823627676616,0.8932293738593764,,,,,,,,,0.10412338042125048,0.3226815464529239,0.2029161549554753,1.0080896600808344,0.8958766195787495
7-Diamonds-GLMMEncoder-DecisionTreeRegressor,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,DecisionTreeRegressor,0.09375,,,,,,,,,0.025282502820885212,0.1590047257816107,0.08407979911092536,0.7655183583480785,0.9741415431694059,,,,,,,,,0.02088182471937241,0.1445054487532301,0.07770675307513276,0.4820742396065519,0.9791181752806276
7-Diamonds-GLMMEncoder-XGBRegressor,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,XGBRegressor,1.59375,,,,,,,,,0.019839672788124273,0.1408533733643759,0.07065954186973054,0.5315794324217326,0.979708364873551,,,,,,,,,0.010005605898457622,0.1000280255651266,0.05643531096995468,0.36370019830167677,0.9899943941015423
7-Diamonds-GLMMEncoder-LGBMRegressor,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,LGBMRegressor,1.5,,,,,,,,,0.018560041363305524,0.13623524273588505,0.0714226639664659,0.45666762201875694,0.9810171472434045,,,,,,,,,0.014407972784931354,0.12003321534030217,0.06650068973103271,0.402931121923516,0.9855920272150687
7-Diamonds-GLMMEncoder-LinearSVR,7,Diamonds,True,43152,10788,9,GLMMEncoder,1.0,LinearSVR,3.953125,,,,,,,,,0.12046581728997299,0.3470818596382891,0.180145441766576,1.1808155711969117,0.8767898827887511,,,,,,,,,0.1205652520665197,0.3472250740751879,0.17991915673617406,0.7282657692125678,0.8794347479334803
7-Kick-GLMMEncoder-MLPClassifier,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,MLPClassifier,117.28125,0.8998424333767212,0.33786231884057966,0.7411519915185343,0.8091106290672451,0.21350887235260446,0.3144204600994751,0.1001575666232788,0.9804754401589367,,,,,,0.9049087109923611,0.4096129306678009,0.8424172086335531,0.8855172413793103,0.26642689168626366,0.265712557651535,0.09509128900763886,0.9712773610112013,,,,,
7-Kick-GLMMEncoder-RandomForestClassifier,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,RandomForestClassifier,21.59375,0.9012810851544838,0.34470213733515237,0.7476401123437844,0.838495575221239,0.2169433314253005,0.34147340478955535,0.0987189148455162,0.9790367883811742,,,,,,1.0,1.0,1.0,1.0,1.0,0.07187301747382471,0.0,0.8761860720035625,,,,,
7-Kick-GLMMEncoder-DecisionTreeClassifier,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,DecisionTreeClassifier,0.6875,0.894635884085771,0.3364969801553063,0.7256445401678031,0.6830122591943958,0.22323983972524328,0.43639622462621325,0.105364115914229,0.9856819894498869,,,,,,0.9070325077929641,0.44144885778966864,0.8169001954882973,0.8617918842908798,0.29672153824872044,0.2705571778753441,0.09296749220703593,0.9691535642105984,,,,,
7-Kick-GLMMEncoder-XGBClassifier,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,XGBClassifier,3.578125,0.8992258683291087,0.35283765948086226,0.7501810775114204,0.7623574144486692,0.22953634802518602,0.30604770345660726,0.10077413167089133,0.9810920052065493,,,,,,0.9223443976295688,0.5517991300909451,0.9400576876016357,0.9667474887426394,0.38608382902199473,0.19984910445571819,0.07765560237043123,0.9538416743739938,,,,,
7-Kick-GLMMEncoder-LGBMClassifier,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,LGBMClassifier,2.828125,0.9018291429745838,0.33993551358820817,0.7621334850850485,0.8702830188679245,0.2112192329708071,0.29630286861247673,0.09817085702541617,0.9784887305610742,,,,,,0.9073408008769226,0.42027432490355765,0.868482886853109,0.9324774132192106,0.2712685018674782,0.2532610204889218,0.09265919912307741,0.96884527112664,,,,,
7-Kick-GLMMEncoder-LogisticRegression,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,LogisticRegression,0.828125,0.8958005069534836,0.32788334069818825,0.7455267172852182,0.7189922480620154,0.21236405266170577,0.3098999245297927,0.10419949304651643,0.9845173665821744,,,,,,0.8958140650155859,0.3616329100640151,0.7728020175593536,0.7491304347826087,0.23834555263521925,0.3035358114728898,0.10418593498441409,0.9803720069879766,,,,,
7-Kick-GLMMEncoder-LinearSVC,7,Kick,False,58386,14597,28,GLMMEncoder,739.015625,LinearSVC,12.65625,0.8942248407206961,0.3379073756432247,0.6053328329387343,0.6735042735042736,0.22552947910704063,3.812523178241891,0.10577515927930392,0.986093032814962,,,,,,0.895128969273456,0.3737342743172752,0.6193190917812665,0.717032967032967,0.25273205145939964,3.779935082067008,0.10487103072654402,0.9810571027301065,,,,,
